2021-12-23 13:37:47,934 - Start v2.0
2021-12-23 13:37:47,934 - Station: Sävjaån
2021-12-23 13:37:48,062 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=19dcd21b-03e1-4fce-a9fe-cd239062a7fb
2021-12-23 15:59:40,549 - Start v2.0
2021-12-23 15:59:40,550 - Station: Sävjaån
2021-12-23 15:59:40,659 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=d28be4ae-d292-4796-99fd-623b9ca6b2e9
2021-12-23 16:09:47,681 - Start v2.0
2021-12-23 16:09:47,682 - Station: Sävjaån
2021-12-23 16:09:47,793 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=265180cf-5bf0-4ff6-b2a0-7c65a75799ab
2021-12-23 16:12:39,392 - Start v2.0
2021-12-23 16:12:39,392 - Station: Sävjaån
2021-12-23 16:12:39,527 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=fe71c070-3030-4ad2-9ffb-7c4a2c98ce62
2021-12-23 17:28:08,498 - Start v2.0
2021-12-23 17:28:08,499 - Station: Sävjaån
2021-12-23 17:28:08,649 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=61c65f8f-2faf-4879-a7ca-d022c6e0d376
2021-12-24 09:12:25,158 - Start v2.0
2021-12-24 09:12:25,159 - Station: Sävjaån
2021-12-24 09:12:25,262 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=a84b2582-05c5-49bc-afcc-1ee48f99e93f
2021-12-24 09:41:47,646 - Start v2.0
2021-12-24 09:41:47,646 - Station: Sävjaån
2021-12-24 09:41:47,747 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=106bebea-4fa1-474a-8151-7f5a4c0ac32e
2021-12-24 09:44:07,880 - Start v2.0
2021-12-24 09:44:07,880 - Station: Sävjaån
2021-12-24 09:44:07,981 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=b0526b85-5e72-4c64-906c-6f0991919e60
2021-12-24 09:53:03,078 - Start v2.0
2021-12-24 09:53:03,078 - Station: Sävjaån
2021-12-24 09:53:03,194 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=b19e3e5e-8a51-4b87-b6f3-6f1b11caafbc
2021-12-24 10:24:43,740 - Start v2.0
2021-12-24 10:24:43,741 - Station: Sävjaån
2021-12-24 10:24:43,858 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=c1d95d11-e84b-4a53-92b1-863e95780c54
2023-06-23 09:02:54,414 - Start v2.0 - Sävjaån
2023-06-23 09:02:54,943 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=d5bbfbff-1e2d-41a1-815f-8017d9fd61c3
2023-06-23 09:13:50,486 - Start v2.0 - Sävjaån
2023-06-23 09:13:50,932 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=f5e3cbe8-810b-435f-9a29-75fb489f417f
2023-06-23 09:24:46,642 - Start v2.0 - Sävjaån
2023-06-23 09:24:47,134 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=53a9d103-97cf-4a35-a0fb-ba5c36d7ec4a
2023-06-23 09:28:05,610 - Start v2.0 - Lund N
2023-06-23 09:28:06,135 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=36fbe9d0-0ac6-4f47-af69-eacc7715f2b4
2023-06-23 09:32:59,016 - Start v2.0 - Lund N
2023-06-23 09:32:59,468 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=6df8380a-caba-4669-ad5b-5f82be24aa8b
2023-06-23 10:18:55,798 - Start v2.0 - Lund N
2023-06-23 10:18:56,221 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=617318e6-fca2-45a7-8cf3-bb996c05cea0
2024-07-03 10:07:03,859 - Start v2.0 - Gårdstånga
2024-07-03 10:07:04,418 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=e276d386-d888-4a24-9967-7e1d2e7c6baa
2024-07-10 15:27:38,504 - Start v2.0 - Gårdstånga
2024-07-10 15:27:39,218 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=c6b8d330-c9f2-4465-9d06-8c9ab44975e3
2024-07-11 02:58:01,160 - Start v2.0 - Gårdstånga
2024-07-11 02:58:01,718 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=204388f8-0b08-4c0c-b99b-4c65450bdd2c
2024-07-11 17:13:08,577 - Start v2.0 - Gårdstånga
2024-07-11 17:13:09,054 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=63644f90-0f4e-43b5-a261-04f59d79ebc4
2024-07-13 07:06:27,264 - Start v2.0 - Gårdstånga
2024-07-13 07:06:27,864 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=3e5a53e8-5fa9-4793-bbe0-ce9df1944a7f
2024-07-14 12:06:39,779 - Start v2.0 - Gårdstånga
2024-07-14 12:06:40,430 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=b3c27982-7426-4efc-a592-0f3743e031bc
2024-07-29 08:11:59,287 - TV: Gårdstånga, empty msg: 200
2024-07-29 11:32:01,333 - TV: Gårdstånga, empty msg: 200
2024-07-29 14:52:03,606 - TV: Gårdstånga, empty msg: 200
2024-07-29 18:12:05,517 - TV: Gårdstånga, empty msg: 200
2024-07-29 21:32:07,083 - TV: Gårdstånga, empty msg: 200
2024-07-30 00:52:09,031 - TV: Gårdstånga, empty msg: 200
2024-07-30 04:12:10,941 - TV: Gårdstånga, empty msg: 200
2024-07-30 07:34:26,808 - TV: Gårdstånga, empty msg: 200
2024-07-30 10:54:28,633 - TV: Gårdstånga, empty msg: 200
2024-07-30 14:14:30,470 - TV: Gårdstånga, empty msg: 200
2024-07-30 17:34:32,054 - TV: Gårdstånga, empty msg: 200
2024-07-30 20:54:33,790 - TV: Gårdstånga, empty msg: 200
2024-07-31 00:16:08,886 - TV: Gårdstånga, empty msg: 200
2024-07-31 03:36:10,535 - TV: Gårdstånga, empty msg: 200
2024-07-31 06:56:12,020 - TV: Gårdstånga, empty msg: 200
2024-07-31 10:23:17,935 - TV: Gårdstånga, empty msg: 200
2024-07-31 13:43:19,550 - TV: Gårdstånga, empty msg: 200
2024-07-31 17:03:21,301 - TV: Gårdstånga, empty msg: 200
2024-07-31 20:23:23,013 - TV: Gårdstånga, empty msg: 200
2024-07-31 23:43:24,687 - TV: Gårdstånga, empty msg: 200
2024-08-01 03:04:51,542 - TV: Gårdstånga, empty msg: 200
2024-08-01 06:27:14,757 - TV: Gårdstånga, empty msg: 200
2024-08-01 09:47:16,781 - TV: Gårdstånga, empty msg: 200
2024-08-01 13:07:18,904 - TV: Gårdstånga, empty msg: 200
2024-08-01 16:35:28,732 - TV: Gårdstånga, empty msg: 200
2024-08-01 19:55:30,236 - TV: Gårdstånga, empty msg: 200
2024-08-01 23:15:31,843 - TV: Gårdstånga, empty msg: 200
2024-08-02 02:35:33,950 - TV: Gårdstånga, empty msg: 200
2024-08-02 05:55:35,659 - TV: Gårdstånga, empty msg: 200
2024-08-02 09:15:37,401 - TV: Gårdstånga, empty msg: 200
2024-08-02 12:37:44,463 - TV: Gårdstånga, empty msg: 200
2024-08-02 15:57:46,184 - TV: Gårdstånga, empty msg: 200
2024-08-02 19:17:47,712 - TV: Gårdstånga, empty msg: 200
2024-08-02 22:44:48,600 - TV: Gårdstånga, empty msg: 200
2024-08-03 02:04:51,034 - TV: Gårdstånga, empty msg: 200
2024-08-03 05:24:54,061 - TV: Gårdstånga, empty msg: 200
2024-08-03 08:44:56,731 - TV: Gårdstånga, empty msg: 200
2024-08-03 12:04:59,389 - TV: Gårdstånga, empty msg: 200
2024-08-03 12:58:51,643 - Start v2.0 - Gårdstånga
2024-08-03 12:58:52,481 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=8744873b-f201-4db3-9671-db4f2b01c808
2024-08-03 16:17:54,673 - TV: Gårdstånga, empty msg: 200
2024-08-03 19:37:56,333 - TV: Gårdstånga, empty msg: 200
2024-08-03 22:57:57,812 - TV: Gårdstånga, empty msg: 200
2024-08-04 02:17:59,400 - TV: Gårdstånga, empty msg: 200
2024-08-04 05:38:01,506 - TV: Gårdstånga, empty msg: 200
2024-08-04 08:58:03,231 - TV: Gårdstånga, empty msg: 200
2024-08-04 12:18:05,026 - TV: Gårdstånga, empty msg: 200
2024-08-04 15:38:06,655 - TV: Gårdstånga, empty msg: 200
2024-08-04 19:00:52,887 - TV: Gårdstånga, empty msg: 200
2024-08-04 22:20:54,575 - TV: Gårdstånga, empty msg: 200
2024-08-05 01:40:56,254 - TV: Gårdstånga, empty msg: 200
2024-08-05 05:00:57,936 - TV: Gårdstånga, empty msg: 200
2024-08-05 08:23:00,990 - TV: Gårdstånga, empty msg: 200
2024-08-05 11:43:02,773 - TV: Gårdstånga, empty msg: 200
2024-08-05 15:03:04,800 - TV: Gårdstånga, empty msg: 200
2024-08-05 18:23:06,556 - TV: Gårdstånga, empty msg: 200
2024-08-05 21:43:08,253 - TV: Gårdstånga, empty msg: 200
2024-08-06 00:57:40,333 - Start v2.0 - Gårdstånga
2024-08-06 00:57:40,867 - Streaming URL: https://api.trafikinfo.trafikverket.se/v2/data.json?ssereqid=55e1d9a5-40b0-4d37-bc94-05e5de9ec9d2
2024-08-06 04:16:44,117 - TV: Gårdstånga, empty msg: 200
2024-08-06 07:36:46,764 - TV: Gårdstånga, empty msg: 200
2024-08-06 10:56:49,696 - TV: Gårdstånga, empty msg: 200
2024-08-06 14:16:52,458 - TV: Gårdstånga, empty msg: 200
2024-08-06 17:36:55,148 - TV: Gårdstånga, empty msg: 200
2024-08-06 20:56:57,638 - TV: Gårdstånga, empty msg: 200
2024-08-07 00:17:00,472 - TV: Gårdstånga, empty msg: 200
2024-08-07 03:39:59,425 - TV: Gårdstånga, empty msg: 200
2024-08-07 07:00:01,297 - TV: Gårdstånga, empty msg: 200
2024-08-07 10:20:03,525 - TV: Gårdstånga, empty msg: 200
2024-08-07 13:40:05,438 - TV: Gårdstånga, empty msg: 200
2024-08-07 17:02:54,957 - TV: Gårdstånga, empty msg: 200
2024-08-07 20:22:57,804 - TV: Gårdstånga, empty msg: 200
2024-08-07 23:43:00,619 - TV: Gårdstånga, empty msg: 200
2024-08-08 03:03:03,782 - TV: Gårdstånga, empty msg: 200
2024-08-08 06:23:06,887 - TV: Gårdstånga, empty msg: 200
2024-08-08 09:43:10,056 - TV: Gårdstånga, empty msg: 200
2024-08-08 13:06:37,003 - TV: Gårdstånga, empty msg: 200
2024-08-08 16:26:38,791 - TV: Gårdstånga, empty msg: 200
2024-08-08 19:46:40,704 - TV: Gårdstånga, empty msg: 200
2024-08-08 23:06:42,632 - TV: Gårdstånga, empty msg: 200
2024-08-09 02:26:44,176 - TV: Gårdstånga, empty msg: 200
2024-08-09 05:46:46,094 - TV: Gårdstånga, empty msg: 200
2024-08-09 09:06:48,131 - TV: Gårdstånga, empty msg: 200
2024-08-09 12:26:50,243 - TV: Gårdstånga, empty msg: 200
2024-08-09 15:49:59,884 - TV: Gårdstånga, empty msg: 200
